@type	@id	@lat	@lon	name	addr:city
node	836911029	49.7635501	15.8333138	Restaurace U Kováře Matěje	Dřevíkov
node	838048186	41.7218741	44.7371466	ვისოლ	
node	840018870	50.0180775	16.8796875	Chalupa Komňátka	Bohdíkov
node	841770915	-29.8589766	31.0377929	Pick n Pay	
node	843506208	45.0692125	11.7898454	Dolce Castigo Gelateria Artigianale	Rovigo
node	844684096	45.0705762	11.7907889	Pedavena	Rovigo
node	846780779	45.0702684	11.7911899	Canevone	Rovigo
node	847285701	49.4674588	7.1700787	Bruder Jakob	Sankt Wendel
node	850020751	-28.5558135	29.7717833	Pick n Pay	Ladysmith
node	853801236	46.0659840	11.1312040	Bellezza Studio	Trento
node	854714238	50.0780401	14.4222268	Jiná krajina	
node	859922189	52.3692937	4.8807031	Barbershop Jordaan	Amsterdam
node	860165497	45.0703994	11.7895194	Tabaccheria Roverella	Rovigo
node	860165498	45.0707825	11.7905142	Caffè Franchin	Rovigo
node	861325859	45.0710746	11.7950794	Pizzeria La Rotonda	Rovigo
node	867377482	46.0678365	11.1207305	Locanda del Gatto Gordo	Trento
node	878632936	-33.9578657	22.4657799	Pick n Pay	George
node	886005685	10.9417594	108.1947283	Surf Point Vietnam	"Mui Ne, Phan Thiet"
node	890585402	49.6804051	17.0460538	Hospůdka U Kolmanů	Haňovice
node	890936103	49.7284650	17.2960763	Expedice Hanácká restaurace	
node	894413853	49.8749502	14.9069245	Sázavská Kozlovna	
node	895064638	4.6343549	-74.1158003	Athena Bitcoin ATM	Bogotá D.C.
node	896271065	51.1758615	6.8716135	Hänsel & Gretel Second Hand Kinderboutique	Düsseldorf
node	896454447	50.2311853	14.0863615	Hejtmanský dvůr	
node	897660541	46.0080650	8.9411270	Autobesso	
node	897977683	49.2064299	16.5752375	Rosnička	Brno
node	900962272	49.5949538	17.2414894	U Fleka	
node	906968501	46.0671884	11.1222426	Meroni	Trento
node	909551463	49.8276233	18.1869352	Viktorka Plzeňská tankovna	
node	911601453	49.2257226	17.6966129	Basket bar	
node	917214049	44.1223803	-78.2411956	Harris Boat Works	Township of Hamilton
node	921135569	41.7542173	44.7698178	ვისოლ	
node	922384469	41.4461549	12.6299264	Liguori	Anzio
node	926352930	49.9886221	17.4647423	Radegastovna Bruntál	
node	929935045	49.9208226	14.2364788	Gobit	
node	931205340	51.0633003	13.7567608	com1EDV Computer-Laptop-Service	Dresden
node	932365447	45.5452176	9.1185459	El barrio loco	Bollate
node	932763569	50.9265206	11.5847434	Roter Hirsch	Jena
node	940632883	41.7139387	44.7799045	ვისოლ	
node	941439093	52.4963757	13.4208114	Horváth	Berlin
node	943742952	54.1578229	-4.4771125	Marmaris	
node	944768186	-34.9112881	-56.1909114	Satoshi CrossFit	Montevideo
node	945430413	46.3651900	11.0330302	Bar Nik 5 - Enoteca Birreria	Cles
node	945874548	41.3991562	43.4883721	ვისოლ	
node	948933232	54.1523186	-4.4783924	Kiki Lounge	
node	954701624	-30.0988085	30.8551582	Pick n Pay	
node	956444190	51.1956263	-1.7828409	Stonehenge Inn	Durrington
node	958131931	46.5580181	15.6468825	Rožmarin	Maribor
